"url"	"title"	"records"	"node_name"	"extent"	"id"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_in2016_v03"	"Marine Microbes from RV Investigator voyage IN2016_V03, 170W, Pacific Ocean (2016)"	3875871	"OBIS Australia"	"POLYGON((-174.784083 -66.33315,-174.784083 0.00383,-168.61612 0.00383,-168.61612 -66.33315,-174.784083 -66.33315))"	"efa02fe9-6b5b-4173-85e7-912f71921fe7"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_nrs_nsi"	"Marine Microbes from the North Stradbroke Island  National Reference Station (NRS), Queensland, Australia (2012-2020)"	2539852	"OBIS Australia"	NA	"74d67d71-2d25-4fa1-9a1e-df71c6af891e"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_nrs_phb"	"Marine Microbes from the Port Hacking National Reference Station (NRS), New South Wales, Australia (2012-2020)"	2534858	"OBIS Australia"	NA	"8b0d5fdd-6a3f-48c7-a4aa-84f39f2df647"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_nrs_mai"	"Marine Microbes from the Maria Island National Reference Station (NRS), Tasmania, Australia (2012-2021)"	2287408	"OBIS Australia"	NA	"2c4f07c6-1c02-4082-88da-9e51b7897f24"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_in2016_v04"	"Marine Microbes from RV Investigator voyage IN2016_V04, Australia (2016)"	2139137	"OBIS Australia"	"POLYGON((150.2825 -36.9988,150.2825 -27.92277,155.1451 -27.92277,155.1451 -36.9988,150.2825 -36.9988))"	"179aa7bb-d57a-4234-9e71-95607753e8d8"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_nrs_rot"	"Marine Microbes from the Rottnest Island National Reference Station (NRS), Western Australia, Australia (2015-2020)"	1498127	"OBIS Australia"	NA	"2ac6b17f-3b3a-4e0f-b712-3b640bf79147"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_nrs_yon"	"Marine Microbes from the Yongala National Reference Station (NRS), Queensland, Australia (2015-2020)"	1038599	"OBIS Australia"	NA	"40d3d980-b417-4f0f-a90a-6b98a0093bc4"
"https://www.dassh.ac.uk/ipt/resource?r=l4-edna"	"Data associated with 'A 17-year time-series of fungal environmental DNA from a coastal marine ecosystem reveals long-term seasonal-scale and inter-annual diversity patterns'"	751140	"OBIS UK"	NA	"7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_nrs_kai"	"Marine Microbes from the Kangaroo Island  National Reference Station (NRS), Queensland, Australia (2015-2020)"	525457	"OBIS Australia"	NA	"51f0f3ff-39a7-4302-ab26-258bfe614975"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_nrs_dar"	"Marine Microbes from the Darwin Harbour National Reference Station (NRS), Northern Territory, Australia (2015-2020)"	480554	"OBIS Australia"	NA	"fc9c2fcc-42ca-4cf2-95a7-e45cf1f0a5de"
